i,U,K,Px,Py,Pz,Ne
177,-57260249.21636067,29457952.873480126,-5305.688953275829,8574.25981991189,-4676.433495417641,30.0
178,-57252862.40315046,29456376.10411377,-5305.6889532758005,8574.259819911953,-4676.433495417564,30.0
179,-57245781.88271563,29454428.507398307,-5305.688953275792,8574.259819911907,-4676.433495417564,30.0
180,-57238004.54966168,29452724.739964034,-5305.6889532758,8574.259819911984,-4676.433495417495,30.0
181,-57230733.23599485,29465807.42114734,-5305.688953275795,8574.259819912018,-4676.433495417617,30.0
182,-57223781.66538898,29476185.16080805,-5305.688953275831,8574.259819911917,-4676.43349541759,31.0
183,-57216091.397677444,29479908.559287023,-5305.688953275794,8574.259819911957,-4676.433495417549,31.0
184,-57208458.83409009,29479045.647045314,-5305.688953275762,8574.259819911984,-4676.433495417663,31.0
185,-57201613.246324636,29481667.02066569,-5305.688953275817,8574.259819911946,-4676.433495417622,31.0
186,-57194772.08580571,29491237.794669475,-5305.688953275807,8574.259819911933,-4676.433495417615,31.0
187,-57188157.39839095,29499201.1072376,-5305.6889532758305,8574.259819911866,-4676.433495417603,31.0
188,-57180682.6388213,29509824.337598763,-5305.688953275848,8574.259819911866,-4676.433495417602,31.0
189,-57173299.23757406,29506986.628107626,-5305.688953275807,8574.259819911907,-4676.433495417584,31.0
190,-57165192.460242756,29506099.12066709,-5305.688953275843,8574.259819911777,-4676.433495417617,31.0
191,-57156824.5945781,29501394.819748357,-5305.688953275881,8574.25981991178,-4676.433495417608,31.0
192,-57147858.7867137,29498818.896843813,-5305.688953275802,8574.25981991178,-4676.433495417613,31.0
193,-57137888.40514922,29501699.473089974,-5305.6889532757305,8574.259819911756,-4676.433495417605,31.0
194,-57126747.15011034,29501043.606956806,-5305.688953275799,8574.25981991199,-4676.433495417662,31.0
195,-57115539.953467235,29492794.50966985,-5305.688953275808,8574.25981991192,-4676.433495417558,31.0
196,-57104465.510019325,29486162.591740448,-5305.688953275869,8574.259819911962,-4676.433495417592,31.0
197,-57092451.796576686,29478363.625011288,-5305.6889532758205,8574.259819911967,-4676.433495417605,31.0
198,-57080838.18392487,29470197.996752646,-5305.688953275764,8574.259819911927,-4676.433495417618,33.0
199,-57065348.60248377,29461299.678782262,-5305.6889532758405,8574.259819912002,-4676.433495417552,33.0
200,-57050522.16964897,29452297.160219904,-5305.688953275868,8574.259819911875,-4676.433495417643,33.0
