i,U,K,Px,Py,Pz
233,-58339825.09707752,30770628.490712743,-5305.688953275835,8574.259819911884,-4676.433495417529
234,-58333366.618481174,30767022.968942277,-5305.688953275953,8574.259819912004,-4676.433495417661
235,-58327262.21915652,30771941.65872892,-5305.68895327579,8574.259819911922,-4676.433495417621
236,-58321186.20665421,30766625.88601593,-5305.688953275893,8574.259819911855,-4676.433495417485
237,-58315216.85897564,30762282.44113611,-5305.688953275866,8574.259819911924,-4676.43349541762
238,-58309182.35998717,30758944.69087726,-5305.688953275806,8574.259819911778,-4676.433495417587
239,-58303448.49735232,30754311.038401745,-5305.688953275766,8574.259819912033,-4676.433495417587
240,-58297664.34419433,30749570.49632233,-5305.688953275865,8574.259819911938,-4676.43349541758
241,-58291918.59128953,30749583.694844462,-5305.688953275831,8574.259819912124,-4676.433495417541
242,-58286112.860618025,30754421.483386084,-5305.688953275833,8574.259819911846,-4676.433495417683
243,-58280593.56375125,30750289.930244874,-5305.688953275872,8574.25981991197,-4676.43349541755
244,-58274913.32286728,30746145.352933325,-5305.688953275827,8574.259819911895,-4676.433495417668
245,-58269245.76048829,30743324.947381914,-5305.688953275867,8574.259819912033,-4676.433495417582
246,-58263796.30301969,30742713.6540876,-5305.688953275802,8574.25981991196,-4676.433495417641
247,-58258572.4421545,30738031.671220217,-5305.688953275812,8574.259819911895,-4676.433495417685
248,-58253211.4515161,30733463.257044442,-5305.688953275881,8574.259819911933,-4676.433495417591
249,-58247675.13236064,30730821.23700945,-5305.688953275876,8574.259819911831,-4676.433495417593
250,-58242613.660733104,30746406.597070843,-5305.688953275825,8574.259819911931,-4676.433495417579
251,-58237057.67784381,30786905.884660173,-5305.6889532758105,8574.259819912128,-4676.433495417623
252,-58231738.17969811,30782468.051713586,-5305.688953275883,8574.259819912042,-4676.433495417632
253,-58226265.61737098,30777706.820055906,-5305.688953275864,8574.259819912017,-4676.433495417663
254,-58220931.39467453,30774140.1915251,-5305.688953275836,8574.2598199119,-4676.43349541754
255,-58215913.73249241,30769649.794024315,-5305.68895327586,8574.259819911957,-4676.433495417652
256,-58210689.109380096,30765294.825201552,-5305.68895327582,8574.25981991201,-4676.433495417561
257,-58205506.26283276,30761150.022529613,-5305.688953275845,8574.259819911857,-4676.433495417597
258,-58199934.41640898,30757173.89771325,-5305.688953275865,8574.259819911893,-4676.433495417641
259,-58194650.11393004,30754459.09806373,-5305.688953275811,8574.259819912075,-4676.433495417603
260,-58189703.14369071,30750753.757757105,-5305.688953275815,8574.25981991192,-4676.433495417571
261,-58184380.039034925,30747454.11529001,-5305.688953275829,8574.259819911911,-4676.433495417676
262,-58179548.24542389,30744623.250052698,-5305.688953275808,8574.25981991193,-4676.433495417648
263,-58174623.5612976,30742803.40839752,-5305.688953275887,8574.25981991198,-4676.433495417616
264,-58169864.712874606,30740287.933811545,-5305.688953275811,8574.259819911884,-4676.433495417576
265,-58164782.36474761,30736583.771810643,-5305.688953275875,8574.259819911951,-4676.43349541766
266,-58160131.94630202,30732348.89926349,-5305.688953275802,8574.259819911935,-4676.4334954175965
267,-58155696.33917026,30728367.675283562,-5305.688953275852,8574.259819911887,-4676.4334954175965
268,-58151414.73950032,30725209.688273042,-5305.688953275885,8574.259819911944,-4676.433495417567
269,-58147253.345773906,30723724.60086415,-5305.688953275901,8574.259819912086,-4676.433495417572
270,-58143130.05888993,30722000.038208727,-5305.688953275794,8574.259819911735,-4676.433495417596
271,-58139373.08079261,30719767.58996851,-5305.688953275848,8574.259819912102,-4676.433495417669
272,-58136056.16135544,30725306.233422685,-5305.688953275839,8574.259819911898,-4676.43349541761
273,-58132482.31164758,30746153.12576516,-5305.688953275844,8574.259819911967,-4676.43349541759
274,-58129427.16258822,30744472.138615537,-5305.688953275855,8574.259819911882,-4676.433495417615
275,-58126266.332280524,30744332.86530128,-5305.688953275854,8574.259819911871,-4676.433495417588
276,-58123383.702399306,30744240.419569694,-5305.688953275803,8574.259819912046,-4676.433495417608
277,-58120703.433014385,30744490.823254444,-5305.688953275845,8574.259819911835,-4676.433495417602
278,-58118463.64368259,30744453.54451778,-5305.688953275819,8574.259819911918,-4676.43349541762
279,-58116442.7767014,30747250.734588433,-5305.688953275892,8574.259819912068,-4676.433495417613
280,-58114697.82525388,30759814.80755533,-5305.688953275868,8574.259819912051,-4676.433495417606
281,-58112842.228489056,30767954.63662053,-5305.688953275798,8574.259819912113,-4676.433495417641
282,-58111563.40294068,30787097.833532117,-5305.688953275832,8574.259819911924,-4676.433495417633
283,-58110418.59006254,30803769.44481849,-5305.688953275878,8574.259819911997,-4676.433495417592
284,-58109643.5622037,30803333.78212603,-5305.688953275794,8574.259819911831,-4676.433495417602
285,-58109178.10616591,30997196.06071312,-5305.688953275846,8574.259819912022,-4676.433495417611
286,-58107575.515889026,31590222.95000844,-5305.688953275866,8574.25981991203,-4676.433495417616
287,-58105924.12311053,31591694.74212722,-5305.688953275812,8574.259819911915,-4676.433495417595
288,-58104840.671575464,31592109.528366745,-5305.688953275887,8574.259819911966,-4676.433495417584
289,-58104141.34820073,31592440.78384307,-5305.688953275796,8574.259819912026,-4676.433495417565
290,-58103480.30810819,31594088.639310367,-5305.68895327581,8574.259819911882,-4676.433495417643
291,-58103110.024826385,31598746.136853695,-5305.688953275865,8574.259819911967,-4676.433495417576
292,-58102590.22244972,31605733.603344027,-5305.688953275832,8574.259819911986,-4676.433495417604
293,-58102321.30619946,31611715.228942078,-5305.688953275839,8574.259819911817,-4676.4334954176065
294,-58102186.917694755,31613825.264355708,-5305.688953275923,8574.259819911935,-4676.4334954175565
295,-58101754.678385295,31619511.88339394,-5305.68895327588,8574.259819911986,-4676.433495417628
296,-58101138.06127579,31627710.586574737,-5305.688953275873,8574.259819911851,-4676.4334954176065
297,-58100451.91863058,31628031.342683084,-5305.688953275849,8574.259819911962,-4676.433495417656
298,-58099811.876167424,31630529.95150779,-5305.688953275875,8574.259819911918,-4676.433495417647
299,-58098803.38266319,31634210.232749775,-5305.688953275851,8574.259819911966,-4676.433495417608
300,-58098108.42528287,31634256.98481028,-5305.688953275791,8574.259819912162,-4676.433495417551
301,-58097034.68777581,31635863.269192465,-5305.688953275797,8574.259819911933,-4676.433495417592
302,-58096097.073250785,31637071.592773106,-5305.688953275814,8574.259819911875,-4676.433495417626
303,-58094891.821470015,31637758.008927874,-5305.6889532758305,8574.259819911924,-4676.43349541752
304,-58093427.40515858,31640415.626375563,-5305.688953275856,8574.259819912022,-4676.433495417613
305,-58091939.76711583,31640444.12635086,-5305.688953275839,8574.25981991197,-4676.433495417601
306,-58090233.163985796,31640506.07621248,-5305.688953275872,8574.259819911882,-4676.433495417585
