i,U,K,Px,Py,Pz
193,-57123637.622858115,35950688.513951376,-5305.688953341863,8574.259819971108,-4676.4334953447205
194,-57104885.572324775,35942596.6198331,-5305.6889533402755,8574.259819963343,-4676.433495342237
195,-57085911.804287076,35928849.44141042,-5305.6889533357435,8574.259819960032,-4676.433495340216
196,-57066454.045772776,35913468.96197304,-5305.6889533301965,8574.25981996002,-4676.433495339829
197,-57046908.230683245,35899681.4915661,-5305.688953328055,8574.259819960964,-4676.433495339076
198,-57027425.13182335,35885318.44735088,-5305.68895332888,8574.259819959976,-4676.433495338299
199,-57007451.80785452,35871866.144881286,-5305.688953325503,8574.259819961197,-4676.433495339839
200,-56987744.19898847,35859395.754577056,-5305.688953316584,8574.259819965577,-4676.433495340863
201,-56967889.847497284,35858311.73696021,-5305.688953313644,8574.259819967701,-4676.433495342705
202,-56948896.914082766,35843964.34796011,-5305.688953314893,8574.259819969371,-4676.433495346606
203,-56930422.60160551,35839666.8424589,-5305.688953314013,8574.259819971898,-4676.433495348298
204,-56912200.174536176,35848393.46827544,-5305.688953313274,8574.259819973922,-4676.4334953449725
205,-56894491.23009732,35837369.355806805,-5305.688953312544,8574.25981997433,-4676.43349534215
206,-56877870.02692807,35837530.56290692,-5305.688953311331,8574.259819973051,-4676.433495337743
207,-56861689.92906387,35838490.498998545,-5305.688953312487,8574.259819971545,-4676.433495332319
208,-56846180.952529415,35825429.253703214,-5305.688953312264,8574.259819972098,-4676.433495330103
209,-56831675.3112596,35817006.56975026,-5305.688953314504,8574.259819969093,-4676.433495331684
210,-56817419.52214111,35817399.89867569,-5305.688953317855,8574.259819963703,-4676.433495333309
211,-56804593.739946306,35808657.33347431,-5305.68895331961,8574.259819959285,-4676.4334953325115
212,-56791917.27614824,35863185.515999176,-5305.688953326852,8574.259819957055,-4676.433495330891
213,-56778084.50511242,36134875.64388799,-5305.688953329825,8574.259819950494,-4676.433495328849
214,-56763305.531588055,36445344.35318157,-5305.688953326473,8574.259819944136,-4676.433495327717
215,-56749845.82135155,36435252.39620579,-5305.688953323431,8574.259819943727,-4676.43349532807
216,-56737045.01927468,36428165.6948752,-5305.688953323502,8574.259819940755,-4676.433495327188
217,-56724262.90389439,36418581.09599905,-5305.688953324968,8574.259819937424,-4676.433495325094
218,-56710877.6978345,36409534.20456494,-5305.688953324111,8574.259819938547,-4676.433495324426
219,-56697430.37563232,36402826.359609,-5305.688953322787,8574.259819939556,-4676.433495323077
220,-56683299.1483088,36395458.287697256,-5305.688953323373,8574.25981993907,-4676.4334953195885
221,-56669249.8766568,36393120.5137061,-5305.688953324084,8574.259819938141,-4676.433495317184
222,-56654309.310242146,36392490.182499506,-5305.688953322837,8574.259819934596,-4676.433495314273
223,-56639006.146432936,36391233.526581466,-5305.688953318702,8574.25981993195,-4676.433495311881
224,-56622757.26099146,36396235.66688204,-5305.688953314704,8574.259819933706,-4676.43349531358
225,-56605820.57805423,36392138.87876175,-5305.688953314467,8574.25981993827,-4676.433495314063
226,-56588296.86655749,36384725.871986225,-5305.688953316905,8574.259819940353,-4676.433495312029
